IBCF,cosine,5,0.7872379797846971,0.9842226474291431
IBCF,cosine,10,0.7895938326255183,0.9869697820901635
IBCF,cosine,20,0.7922855986235374,0.9900546617415397
IBCF,cosine,30,0.7934196947935102,0.9914590069536056
IBCF,cosine,50,0.7943932800191846,0.9926151652785176
IBCF,cosine,70,0.7948206873123175,0.993178444976102
IBCF,cosine,100,0.7950925729843693,0.9935050287725513
IBCF,cosine,150,0.7952074615583116,0.9936228117404879
IBCF,cosine,200,0.7951567291411153,0.9935745662820072
UBCF,cosine,5,0.8211256747370542,1.0258158760400786
UBCF,cosine,10,0.8205840216824067,1.02509431944765
UBCF,cosine,20,0.8187841752138871,1.0230766482075409
UBCF,cosine,30,0.8174590002970133,1.0216872817776845
UBCF,cosine,50,0.8149347399388062,1.0188952288462823
UBCF,cosine,70,0.8124974020844382,1.0162669825546453
UBCF,cosine,100,0.8089786286678539,1.0126220319301196
UBCF,cosine,150,0.8039250397948055,1.0072956677311384
UBCF,cosine,200,0.7997930394675951,1.002916692772418
IBCF,pearson,5,0.7866044864218815,0.9871921277063365
IBCF,pearson,10,0.7863146256126446,0.9861719134303429
IBCF,pearson,20,0.7860951961812409,0.9855960724915394
IBCF,pearson,30,0.7860623848161417,0.9854128937654538
IBCF,pearson,50,0.7858097333053553,0.9849825448741634
IBCF,pearson,70,0.785145005532789,0.9840772803657206
IBCF,pearson,100,0.7838417317992564,0.9823135425371963
IBCF,pearson,150,0.78069078743289,0.9782679229931834
IBCF,pearson,200,0.7772230671491319,0.9738845277705032
UBCF,pearson,5,0.8121283463016608,1.0170740231923685
UBCF,pearson,10,0.809514288963746,1.014047643258754
UBCF,pearson,20,0.805891663287308,1.0099182460043774
UBCF,pearson,30,0.8031041061597783,1.0067776539212785
UBCF,pearson,50,0.7982819002358084,1.0011880280452243
UBCF,pearson,70,0.7939489985203855,0.9962579868134286
UBCF,pearson,100,0.7884197229547091,0.9900519911206982
UBCF,pearson,150,0.7816810113435066,0.982633556630657
UBCF,pearson,200,0.777785809529703,0.9784588193529622
